iter	RMSE
344	353.7760806
345	353.5144193
346	353.1528658
347	352.967189
348	352.6597466
349	352.5256428
350	352.2423675
351	352.0677924
352	351.8507169
353	351.5838492
354	351.25331
355	351.1117435
356	350.8683555
357	350.6328912
358	350.3689548
359	350.2286274
360	349.9101554
361	349.597599
362	349.4517598
363	349.2532148
364	348.8624664
365	348.7210261
366	348.5254923
367	348.438254
368	348.3160378
369	348.0252342
370	347.7274843
371	347.5409219
372	347.254156
373	346.8998055
374	346.7661685
375	346.5293831
376	346.4168508
377	345.9628882
378	345.6980027
379	345.3444283
380	345.1161235
381	344.8498912
382	344.7206169
383	344.3618894
384	344.1101479
385	343.9397404
386	343.6380027
387	343.4549812
388	343.1373494
389	342.8329905
390	342.569694
391	342.2661485
392	342.1804897
393	341.9315355
394	341.7321857
395	341.4690948
396	341.1916635
397	341.0140306
398	340.771149
399	340.6103578
400	340.3797822
401	340.1506999
402	339.9307427
403	339.7847843
404	339.6471197
405	339.4264645
406	339.1857249
407	338.9458245
408	338.6911946
409	338.5092783
410	338.4063941
411	338.233174
412	338.1208712
413	337.8697731
414	337.5677142
415	337.2378691
416	337.0682146
417	336.8810597
418	336.7578531
419	336.5724282
420	336.4178551
421	336.2432385
422	335.938803
423	335.5787026
424	335.3558439
425	335.1563306
426	334.9096856
427	334.7346072
428	334.6229818
429	334.3474971
430	334.0959113
431	333.949854
432	333.7663666
433	333.5184935
434	333.2798916
435	333.1442453
436	332.8627647
437	332.6679445
438	332.4208389
439	332.1974832
440	332.0873695
441	331.8468531
442	331.6574186
443	331.4897331
444	331.2713735
445	331.0955803
446	330.869075
447	330.7236086
448	330.6456668
449	330.4548967
450	330.2244742
451	330.0382409
452	329.8590067
453	329.6484789
454	329.423029
455	329.2543113
456	329.177466
457	328.9155127
458	328.777755
459	328.6119605
460	328.4518471
461	328.2482551
462	328.1445744
463	327.8629258
464	327.5975676
465	327.3892147
466	327.1418904
467	327.002517
468	326.880379
469	326.7250445
470	326.4855365
471	326.3543585
472	326.1530171
473	325.9477441
474	325.8339372
475	325.6543836
476	325.5144012
477	325.286005
478	325.0344655
479	324.9058985
480	324.7222879
481	324.5449802
482	324.4384354
483	324.266169
484	324.0883887
485	323.9950044
486	323.7683833
487	323.5895094
488	323.5067058
489	323.4281235
490	323.2642477
491	323.162818
492	322.9442345
493	322.7921444
494	322.637278
495	322.4670684
496	322.2513843
497	322.0789561
498	321.8626852
499	321.6665288
