C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2023/06/09,15:30:12,0000000389164383,DEMAND,0000000389164210
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",NSW1,0,1,MEASUREMENT,"2023/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",NSW1,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLD1,0,1,MEASUREMENT,"2023/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLD1,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDC,0,1,MEASUREMENT,"2023/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDC,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDN,0,1,MEASUREMENT,"2023/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDN,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDS,0,1,MEASUREMENT,"2023/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",QLDS,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",SA1,0,1,MEASUREMENT,"2023/05/01 00:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",SA1,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TAS1,0,1,MEASUREMENT,"2023/05/01 00:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TAS1,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TASN,0,1,MEASUREMENT,"2023/05/01 00:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TASN,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TASS,0,1,MEASUREMENT,"2023/05/01 00:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",TASS,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",VIC1,0,0.6,SATELLITE,"2023/05/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 00:30:00",VIC1,0,1,MEASUREMENT,"2023/05/01 00:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",NSW1,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",NSW1,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLD1,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLD1,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDC,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDC,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDN,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDN,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDS,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",QLDS,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",SA1,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",SA1,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TAS1,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TAS1,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TASN,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TASN,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TASS,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",TASS,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",VIC1,0,1,MEASUREMENT,"2023/05/01 01:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:00:00",VIC1,0,0.6,SATELLITE,"2023/05/01 01:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",NSW1,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",NSW1,0,0.6,SATELLITE,"2023/05/01 01:50:23"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLD1,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLD1,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDC,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDC,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDN,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDN,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDS,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",QLDS,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",SA1,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",SA1,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TAS1,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TAS1,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TASN,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TASN,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TASS,0,1,MEASUREMENT,"2023/05/01 01:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",TASS,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",VIC1,0,0.6,SATELLITE,"2023/05/01 01:50:24"
D,ROOFTOP,ACTUAL,2,"2023/05/01 01:30:00",VIC1,0,1,MEASUREMENT,"2023/05/01 01:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",NSW1,0,1,MEASUREMENT,"2023/05/01 02:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",NSW1,0,0.6,SATELLITE,"2023/05/01 02:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLD1,0,1,MEASUREMENT,"2023/05/01 02:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLD1,0,0.6,SATELLITE,"2023/05/01 02:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDC,0,1,MEASUREMENT,"2023/05/01 02:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDC,0,0.6,SATELLITE,"2023/05/01 02:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDN,0,0.6,SATELLITE,"2023/05/01 02:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDN,0,1,MEASUREMENT,"2023/05/01 02:19:21"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDS,0,0.6,SATELLITE,"2023/05/01 02:20:22"
D,ROOFTOP,ACTUAL,2,"2023/05/01 02:00:00",QLDS,0,1,MEASUREMENT,"2023/05/01 02:19:21"
