C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2023/10/11,17:35:08,0000000399364071,DEMAND,0000000399363899
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",NSW1,0,1,MEASUREMENT,"2023/09/01 00:49:09"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",NSW1,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLD1,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLD1,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDC,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDC,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDN,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDN,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDS,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",QLDS,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",SA1,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",SA1,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",TAS1,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",TAS1,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",TASN,0,1,MEASUREMENT,"2023/09/01 00:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",TASN,0,0.6,SATELLITE,"2023/09/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2023/09/01 00:30:00",TASS,0,1,MEASUREMENT,"2023/09/01 00:49:10"
