C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2025/02/20,10:13:21,001740010401200,MONTHLY_ARCHIVE,001740010401200
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",NSW1,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLD1,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDC,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDN,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDS,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",SA1,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TAS1,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TASN,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TASS,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",VIC1,0,"2025/01/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDN,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",NSW1,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLD1,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDC,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",QLDS,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",SA1,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TAS1,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TASN,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",TASS,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 00:30:00",VIC1,0,"2025/01/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/01/01 01:00:00",NSW1,0,"2025/01/01 01:19:16",MEASUREMENT,1
