C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2024/06/08,00:25:26,0000000422225512,DEMAND,0000000422225337
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",NSW1,0,0.6,SATELLITE,"2024/05/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",NSW1,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLD1,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLD1,0,0.6,SATELLITE,"2024/05/01 00:50:20"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDC,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDC,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDN,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDN,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDS,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",QLDS,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",SA1,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",SA1,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TAS1,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TAS1,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TASN,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TASN,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TASS,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",TASS,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",VIC1,0,0.6,SATELLITE,"2024/05/01 00:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/01 00:30:00",VIC1,0,1,MEASUREMENT,"2024/05/01 00:49:19"
D,ROOFTOP,ACTUAL,2,"2024/05/01 01:00:00",NSW1,0,1,MEASUREMENT,"2024/05/01 01:19:14"
D,ROOFTOP,ACTUAL,2,"2024/05/01 01:00:00",NSW1,0,0.6,SATELLITE,"2024/05/01 01:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/01 01:00:00",QLD1,0,0.6,SATELLITE,"2024/05/01 01:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/01 01:00:00",QLD1,0,1,MEASUREMENT,"2024/05/01 01:19:14"
D,ROOFTOP,ACTUAL,2,"2024/05/01 01:00:00",QLDC,0,1,MEASUREMENT,"2024/05/01 01:19:14"
