C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2026/03/09,10:04:45,001773014685816,MONTHLY_ARCHIVE,001773014685816
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",NSW1,0,"2026/02/01 02:49:01",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",QLD1,0,"2026/02/01 02:49:01",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",SA1,0,"2026/02/01 02:49:01",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",TAS1,0,"2026/02/01 02:49:01",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",VIC1,0,"2026/02/01 02:49:01",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",NSW1,0,"2026/02/01 02:50:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",QLD1,0,"2026/02/01 02:50:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",SA1,0,"2026/02/01 02:50:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",TAS1,0,"2026/02/01 02:50:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 02:30:00",VIC1,0,"2026/02/01 02:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",NSW1,0,"2026/02/01 03:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",QLD1,0,"2026/02/01 03:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",SA1,0,"2026/02/01 03:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",TAS1,0,"2026/02/01 03:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",VIC1,0,"2026/02/01 03:19:02",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",NSW1,0,"2026/02/01 03:20:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",QLD1,0,"2026/02/01 03:20:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",SA1,0,"2026/02/01 03:20:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",TAS1,0,"2026/02/01 03:20:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:00:00",VIC1,0,"2026/02/01 03:20:19",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",NSW1,0,"2026/02/01 03:49:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",QLD1,0,"2026/02/01 03:49:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",SA1,0,"2026/02/01 03:49:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",TAS1,0,"2026/02/01 03:49:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",VIC1,0,"2026/02/01 03:49:03",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",NSW1,0,"2026/02/01 03:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",QLD1,0,"2026/02/01 03:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",SA1,0,"2026/02/01 03:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",TAS1,0,"2026/02/01 03:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 03:30:00",VIC1,0,"2026/02/01 03:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",NSW1,0,"2026/02/01 04:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",QLD1,0,"2026/02/01 04:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",SA1,0,"2026/02/01 04:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",TAS1,0,"2026/02/01 04:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",VIC1,0,"2026/02/01 04:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",NSW1,0,"2026/02/01 04:20:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",QLD1,0,"2026/02/01 04:20:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",SA1,0,"2026/02/01 04:20:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",TAS1,0,"2026/02/01 04:20:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:00:00",VIC1,0,"2026/02/01 04:20:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",NSW1,0,"2026/02/01 04:49:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",QLD1,0,"2026/02/01 04:49:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",SA1,0,"2026/02/01 04:49:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 04:30:00",TAS1,0,"2026/02/01 04:49:05",MEASUREMENT,1
