C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2025/04/08,14:23:25,001744086205341,MONTHLY_ARCHIVE,001744086205341
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",NSW1,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLD1,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDC,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDN,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDS,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",SA1,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TAS1,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TASN,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TASS,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",VIC1,0,"2025/03/01 00:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",NSW1,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLD1,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDC,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDN,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",QLDS,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",SA1,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TAS1,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TASN,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",TASS,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 00:30:00",VIC1,0,"2025/03/01 00:50:27",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDN,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",NSW1,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLD1,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDC,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDS,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",SA1,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TAS1,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TASN,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TASS,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",VIC1,0,"2025/03/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",NSW1,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLD1,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDC,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDN,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",QLDS,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",SA1,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TAS1,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TASN,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",TASS,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:00:00",VIC1,0,"2025/03/01 01:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",NSW1,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLD1,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDC,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDN,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDS,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",SA1,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TAS1,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TASN,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TASS,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",VIC1,0,"2025/03/01 01:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",NSW1,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLD1,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDC,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDN,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",QLDS,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",SA1,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TAS1,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TASN,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",TASS,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 01:30:00",VIC1,0,"2025/03/01 01:50:28",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDN,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",NSW1,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLD1,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDC,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDS,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",SA1,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",TAS1,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",TASN,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",TASS,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",VIC1,0,"2025/03/01 02:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDN,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",NSW1,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLD1,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDC,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",QLDS,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",SA1,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",TAS1,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",TASN,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:00:00",VIC1,0,"2025/03/01 02:20:25",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",NSW1,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLD1,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDC,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDN,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDS,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",SA1,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TAS1,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TASN,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TASS,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",VIC1,0,"2025/03/01 02:49:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",NSW1,0,"2025/03/01 02:50:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLD1,0,"2025/03/01 02:50:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDC,0,"2025/03/01 02:50:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDN,0,"2025/03/01 02:50:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",QLDS,0,"2025/03/01 02:50:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",SA1,0,"2025/03/01 02:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TAS1,0,"2025/03/01 02:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TASN,0,"2025/03/01 02:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",TASS,0,"2025/03/01 02:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 02:30:00",VIC1,0,"2025/03/01 02:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",NSW1,0,"2025/03/01 03:19:12",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLD1,0,"2025/03/01 03:19:12",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDC,0,"2025/03/01 03:19:12",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDN,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDS,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",SA1,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TAS1,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TASN,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TASS,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",VIC1,0,"2025/03/01 03:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",NSW1,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLD1,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDC,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDN,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",QLDS,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",SA1,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TAS1,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TASN,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",TASS,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:00:00",VIC1,0,"2025/03/01 03:20:26",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:30:00",NSW1,0,"2025/03/01 03:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/03/01 03:30:00",QLD1,0,"2025/03/01 03:49:16",MEASUREMENT,1
