C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2024/07/19,04:35:19,0000000426661645,DEMAND,0000000426661461
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",NSW1,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",NSW1,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLD1,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLD1,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDC,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDC,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDN,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDN,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDS,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",QLDS,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",SA1,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",SA1,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TAS1,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TAS1,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TASN,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TASN,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TASS,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",TASS,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",VIC1,0,0.6,SATELLITE,"2024/06/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2024/06/01 00:30:00",VIC1,0,1,MEASUREMENT,"2024/06/01 00:49:17"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",NSW1,0,0.6,SATELLITE,"2024/06/01 01:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",NSW1,0,1,MEASUREMENT,"2024/06/01 01:19:14"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLD1,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLD1,0,0.6,SATELLITE,"2024/06/01 01:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDC,0,0.6,SATELLITE,"2024/06/01 01:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDC,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDN,0,0.6,SATELLITE,"2024/06/01 01:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDN,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDS,0,0.6,SATELLITE,"2024/06/01 01:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",QLDS,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",SA1,0,0.6,SATELLITE,"2024/06/01 01:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",SA1,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",TAS1,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",TAS1,0,0.6,SATELLITE,"2024/06/01 01:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",TASN,0,1,MEASUREMENT,"2024/06/01 01:19:15"
D,ROOFTOP,ACTUAL,2,"2024/06/01 01:00:00",TASN,0,0.6,SATELLITE,"2024/06/01 01:20:21"
