C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2025/01/10,15:03:35,001736485415378,MONTHLY_ARCHIVE,001736485415378
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",NSW1,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLD1,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDC,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDN,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDS,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",SA1,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TAS1,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TASN,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TASS,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",VIC1,0,"2024/12/01 00:49:22",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",NSW1,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLD1,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",SA1,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDC,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDN,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",QLDS,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TAS1,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TASN,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",TASS,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 00:30:00",VIC1,0,"2024/12/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",QLDN,0,"2024/12/01 01:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",NSW1,0,"2024/12/01 01:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",QLD1,0,"2024/12/01 01:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",QLDC,0,"2024/12/01 01:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",QLDS,0,"2024/12/01 01:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2024/12/01 01:00:00",SA1,0,"2024/12/01 01:19:15",MEASUREMENT,1
