C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2023/03/07,05:10:17,0000000382162256,DEMAND,0000000382162077
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",NSW1,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",NSW1,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLD1,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLD1,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDC,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDC,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDN,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDN,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDS,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",QLDS,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",SA1,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",SA1,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TAS1,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TAS1,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TASN,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TASN,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TASS,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",TASS,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",VIC1,0,1,MEASUREMENT,"2023/02/01 05:19:26"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:00:00",VIC1,0,0.6,SATELLITE,"2023/02/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",NSW1,34.591,0.6,SATELLITE,"2023/02/01 05:50:23"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",NSW1,3.768,1,MEASUREMENT,"2023/02/01 05:49:29"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",QLD1,21.826,0.6,SATELLITE,"2023/02/01 05:50:23"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",QLD1,1.048,1,MEASUREMENT,"2023/02/01 05:49:29"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",QLDC,0.708,0.6,SATELLITE,"2023/02/01 05:50:23"
D,ROOFTOP,ACTUAL,2,"2023/02/01 05:30:00",QLDC,0,1,MEASUREMENT,"2023/02/01 05:49:29"
