C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2026/01/12,09:20:19,001768173619418,MONTHLY_ARCHIVE,001768173619418
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",NSW1,0,"2025/12/01 00:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",QLD1,0,"2025/12/01 00:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",SA1,0,"2025/12/01 00:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",TAS1,0,"2025/12/01 00:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",VIC1,0,"2025/12/01 00:49:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",NSW1,0,"2025/12/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",QLD1,0,"2025/12/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",SA1,0,"2025/12/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",TAS1,0,"2025/12/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 00:30:00",VIC1,0,"2025/12/01 00:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",NSW1,0,"2025/12/01 01:19:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",QLD1,0,"2025/12/01 01:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",SA1,0,"2025/12/01 01:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",TAS1,0,"2025/12/01 01:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",VIC1,0,"2025/12/01 01:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",NSW1,0,"2025/12/01 01:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",QLD1,0,"2025/12/01 01:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",SA1,0,"2025/12/01 01:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",TAS1,0,"2025/12/01 01:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:00:00",VIC1,0,"2025/12/01 01:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",NSW1,0,"2025/12/01 01:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",QLD1,0,"2025/12/01 01:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",SA1,0,"2025/12/01 01:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",TAS1,0,"2025/12/01 01:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",VIC1,0,"2025/12/01 01:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",NSW1,0,"2025/12/01 01:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",QLD1,0,"2025/12/01 01:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",SA1,0,"2025/12/01 01:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",TAS1,0,"2025/12/01 01:50:20",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 01:30:00",VIC1,0,"2025/12/01 01:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",NSW1,0,"2025/12/01 02:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",QLD1,0,"2025/12/01 02:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",SA1,0,"2025/12/01 02:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",TAS1,0,"2025/12/01 02:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",VIC1,0,"2025/12/01 02:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",NSW1,0,"2025/12/01 02:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",QLD1,0,"2025/12/01 02:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",SA1,0,"2025/12/01 02:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",TAS1,0,"2025/12/01 02:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:00:00",VIC1,0,"2025/12/01 02:20:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",NSW1,0,"2025/12/01 02:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",QLD1,0,"2025/12/01 02:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",SA1,0,"2025/12/01 02:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",TAS1,0,"2025/12/01 02:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",VIC1,0,"2025/12/01 02:49:16",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",NSW1,0,"2025/12/01 02:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",QLD1,0,"2025/12/01 02:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",SA1,0,"2025/12/01 02:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",TAS1,0,"2025/12/01 02:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 02:30:00",VIC1,0,"2025/12/01 02:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",NSW1,0,"2025/12/01 03:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",QLD1,0,"2025/12/01 03:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",SA1,0,"2025/12/01 03:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",TAS1,0,"2025/12/01 03:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",VIC1,0,"2025/12/01 03:19:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",NSW1,0,"2025/12/01 03:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",QLD1,0,"2025/12/01 03:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",SA1,0,"2025/12/01 03:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",TAS1,0,"2025/12/01 03:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:00:00",VIC1,0,"2025/12/01 03:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",NSW1,0,"2025/12/01 03:49:21",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",QLD1,0,"2025/12/01 03:49:21",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",SA1,0,"2025/12/01 03:49:21",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",TAS1,0,"2025/12/01 03:49:21",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",VIC1,0,"2025/12/01 03:49:21",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",NSW1,0,"2025/12/01 03:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",QLD1,0,"2025/12/01 03:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",SA1,0,"2025/12/01 03:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",TAS1,0,"2025/12/01 03:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 03:30:00",VIC1,0,"2025/12/01 03:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",NSW1,0,"2025/12/01 04:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",QLD1,0,"2025/12/01 04:19:19",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",SA1,0,"2025/12/01 04:19:20",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",TAS1,0,"2025/12/01 04:19:20",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",VIC1,0,"2025/12/01 04:19:20",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",NSW1,0,"2025/12/01 04:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",QLD1,0,"2025/12/01 04:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",SA1,0,"2025/12/01 04:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",TAS1,0,"2025/12/01 04:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:00:00",VIC1,0,"2025/12/01 04:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",NSW1,0,"2025/12/01 04:49:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",QLD1,0,"2025/12/01 04:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",SA1,0,"2025/12/01 04:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",TAS1,0,"2025/12/01 04:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",VIC1,0,"2025/12/01 04:49:18",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",NSW1,0,"2025/12/01 04:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",QLD1,0,"2025/12/01 04:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",SA1,0,"2025/12/01 04:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",TAS1,0.476,"2025/12/01 04:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 04:30:00",VIC1,0,"2025/12/01 04:50:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",TAS1,1.854,"2025/12/01 05:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",NSW1,23.078,"2025/12/01 05:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",QLD1,12.424,"2025/12/01 05:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",SA1,0,"2025/12/01 05:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",VIC1,1.39,"2025/12/01 05:19:17",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",NSW1,104.368,"2025/12/01 05:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",QLD1,35.016,"2025/12/01 05:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/12/01 05:00:00",SA1,0,"2025/12/01 05:20:23",SATELLITE,0.6
